rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.024764537811279297,0.0010945796966552734,16.6875,64.78475935828878,99.45198799133301,100,80.52201524532543,
2,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.0029354095458984375,0.0007250308990478516,97.3369140625,62.308479532163744,97.99214740753175,85,76.61809322419641,
3,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.029500961303710938,0.0028045177459716797,23.4580078125,57.51832579185521,99.18556301116944,100,76.47219178775426,
4,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.004430055618286133,0.0007693767547607422,16.51171875,60.48232323232323,99.59702268600464,85,75.93468231497872,
5,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.009249687194824219,0.0010879039764404297,49.5009765625,60.541666666666664,98.88920810699463,85,75.8257582880656,
6,count_basic,CountVectorizer Basic,count,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,count_basic__sgd_log,completed,0.6,0.5558667911609088,0.5408029878618115,0.5833333333333334,0.6190476190476191,0.0057528018951416016,0.0008451938629150391,16.828125,56.464052287581694,99.57820905685425,85,73.72087056954078,
7,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.00539398193359375,0.0009837150573730469,49.3564453125,58.577777777777776,98.92148429870605,70,72.50207463751899,
8,hashing_word,HashingVectorizer Word,hashing,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,hashing_word__sgd_log,completed,0.55,0.534965034965035,0.5155594405594405,0.5171957671957672,0.5714285714285714,0.0046198368072509766,0.0010256767272949219,49.6259765625,53.58129370629371,98.9182208442688,70,69.75335570731531,
9,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.13496851921081543,0.008744001388549805,285.91015625,47.331250000000004,92.94734567642212,85,67.37165663528442,
10,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_3_5__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.022129535675048828,0.004216670989990234,285.765625,47.835714285714275,93.8989100265503,70,65.58942486245292,
11,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_char_3_5__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.014248847961425781,0.0023488998413085938,402.9306640625,42.46063348416289,91.71495964050293,85,64.44634034439018,
12,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word_1_2__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.0064258575439453125,0.0011737346649169922,50.84375,35.764939309056956,98.87414577484131,85,62.19554577494959,
13,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_word_1_2__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.006224632263183594,0.0012106895446777344,51.11328125,35.764939309056956,98.86774520874025,85,62.194265661729375,
14,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_2__logreg_balanced,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.011004924774169922,0.0017352104187011719,50.97265625,29.146527777777777,98.81040470123291,100,60.79267121802437,
15,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_char_3_5__sgd_log,completed,0.4,0.38413547237076645,0.3798128342245989,0.40454545454545454,0.41269841269841273,0.017864465713500977,0.0033690929412841797,286.03515625,38.74532085561497,93.96996450424194,70,60.603919371436625,
16,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_word_1_2__multinomial_nb,completed,0.3,0.27481146304675713,0.278552036199095,0.2722222222222222,0.29365079365079366,0.00869131088256836,0.0016145706176757812,69.4619140625,28.166968325791853,98.46173961639406,100,60.18418050246433,
